step,time,dt,inner_flux,outer_flux,vrms
0,0.0001198339684373328,0.0001198339684373328,2.1869660148132946,2.2585413767436564,2.8900559981303936e-05
1,0.0002396679368746656,0.0001198339684373328,2.2211412631828438,2.2204437555069787,2.8370067584192777e-05
2,0.0003595019053119984,0.0001198339684373328,2.2471098033384855,2.207563858612919,2.7613769787879082e-05
3,0.0004793358737493312,0.0001198339684373328,2.266799149302616,2.1934316886222405,2.6919883585073785e-05
4,0.000599169842186664,0.0001198339684373328,2.28385018962046,2.1846324093607503,2.634372911896969e-05
5,0.0007190038106239968,0.0001198339684373328,2.297960117600119,2.1755414126707078,2.5702898809686264e-05
6,0.0008388377790613296,0.0001198339684373328,2.310752823884661,2.168746389271449,2.5097329204681318e-05
7,0.0009586717474986624,0.0001198339684373328,2.3218711422629608,2.161801949929965,2.4479479401251678e-05
8,0.0010785057159359952,0.0001198339684373328,2.3322422482620486,2.1561149740196717,2.3882674710077237e-05
9,0.001198339684373328,0.0001198339684373328,2.3416271926102943,2.1503266457369663,2.3292321044184723e-05
10,0.001318173652810661,0.0001198339684373328,2.3505019091263066,2.145319730957502,2.281334867701013e-05
11,0.0014380076212479938,0.0001198339684373328,2.358724074674589,2.1402775821738107,2.223791382832891e-05
12,0.0015578415896853267,0.0001198339684373328,2.366565187993932,2.1357481314202658,2.173480239359102e-05
13,0.0016776755581226596,0.0001198339684373328,2.3739484496746197,2.1312270796631414,2.1279029358424814e-05
14,0.0017975095265599925,0.0001198339684373328,2.381030025981673,2.127057865219573,2.075139875918793e-05
15,0.0019173434949973254,0.0001198339684373328,2.387773575359743,2.122922887089602,2.0278593732367173e-05
16,0.002037177463434658,0.0001198339684373328,2.394270371873952,2.1190388293989257,1.9839549112160192e-05
17,0.0021570114318719908,0.0001198339684373328,2.400506642630271,2.115202407134219,1.9432094679583444e-05
18,0.0022768454003093234,0.0001198339684373328,2.4065367090054677,2.1115512041212834,1.8998162244691796e-05
19,0.002396679368746656,0.0001198339684373328,2.412358269430385,2.1079550909673466,1.858613009973037e-05
20,0.002516513337183989,0.0001198339684373328,2.4180051034378316,2.104499675052588,1.8185870026776683e-05
21,0.0026363473056213215,0.0001198339684373328,2.4234802660328025,2.101101184330078,1.779179229686496e-05
22,0.002756181274058654,0.0001198339684373328,2.428805492773355,2.0978130059104365,1.741190753862216e-05
23,0.002876015242495987,0.0001198339684373328,2.4339859784605924,2.094580792248578,1.7007790204407684e-05
24,0.0029958492109333195,0.0001198339684373328,2.439036408277003,2.0914375887981853,1.6690352374586864e-05
25,0.003115683179370652,0.0001198339684373328,2.443962496424405,2.0883478620507185,1.633104434860189e-05
26,0.003235517147807985,0.0001198339684373328,2.4487746587582833,2.0853318328056147,1.5991325824167275e-05
27,0.0033553511162453175,0.0001198339684373328,2.453478389605948,2.0823660558339734,1.5655449084932525e-05
28,0.00347518508468265,0.0001198339684373328,2.4580814381978193,2.0794626893842207,1.533612047172313e-05
29,0.003595019053119983,0.0001198339684373328,2.4625887840877874,2.0766060912172013,1.5020226064904242e-05
30,0.0037148530215573156,0.0001198339684373328,2.4670064220464796,2.0738033727431318,1.47309181325228e-05
31,0.0038346869899946482,0.0001198339684373328,2.4713387524526578,2.0710439540762704,1.4443946022087778e-05
32,0.003954520958431981,0.0001198339684373328,2.4755905594551004,2.0683318070539807,1.4149582135996401e-05
33,0.004074354926869314,0.0001198339684373328,2.4797656902251335,2.065659656134721,1.388276832944229e-05
34,0.004194188895306646,0.0001198339684373328,2.4838680639586093,2.063029538577197,1.3619746391809979e-05
35,0.004314022863743979,0.0001198339684373328,2.4879010234075793,2.0604363492956166,1.3344538396352703e-05
36,0.004433856832181312,0.0001198339684373328,2.4918678556770386,2.0578809513805374,1.3117955564461e-05
37,0.004553690800618644,0.0001198339684373328,2.4957714532543043,2.055359676856611,1.2863591698787039e-05
38,0.004673524769055977,0.0001198339684373328,2.499614623184839,2.05287269021617,1.2607793064735707e-05
39,0.00479335873749331,0.0001198339684373328,2.5033998801746593,2.0504172882387075,1.2400009703456913e-05
40,0.004913192705930642,0.0001198339684373328,2.5071296345112186,2.047993230528083,1.2158577709685743e-05
41,0.005033026674367975,0.0001198339684373328,2.510806096368989,2.0455984706348995,1.1948791029721219e-05
42,0.005152860642805308,0.0001198339684373328,2.5144313579993898,2.043232548293621,1.177804098786888e-05
43,0.00527269461124264,0.0001198339684373328,2.5180073644740166,2.0408938693534044,1.152851805299771e-05
44,0.005392528579679973,0.0001198339684373328,2.5215359421538803,2.0385818658342187,1.1323594638115789e-05
45,0.005512362548117306,0.0001198339684373328,2.525018808494839,2.036295262199792,1.113215811155006e-05
